ball_possession,total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_percent,fouls_committed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,accurate_passes,accurate_passes_percent,own_half_passes,opposition_half_passes,accurate_long_balls,accurate_long_balls_percent,accurate_crosses,accurate_crosses_percent,throws,touches_in_opp_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_percent,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,successful_dribbles,successful_dribbles_percent,result,first_half_goals,full_time_goals
0.53,7,2,1,1,182,0.82,8,2,7,2,2,3,0,3,4,221,182,0.82,106,76,15,0.68,0,0,8,NULL,0,1,0,4,0.4,4,4,12,3,23,19,0.46,4,0.57,4,1,L,0,0
0.45,6,1,0,0,157,0.75,5,1,6,2,1,3,0,4,2,208,157,0.75,82,75,22,0.59,3,0.2,13,NULL,2,0,0,5,0.45,4,1,3,1,27,19,0.61,8,0.89,3,0.75,W,0,2
0.55,2,1,0,0,204,0.77,7,2,2,0,1,1,0,2,0,266,204,0.77,160,44,16,0.42,1,0.17,8,NULL,1,0,0,0,0,35,3,5,1,13,12,0.29,1,0.11,7,0.5,L,0,0
0.51,3,2,1,1,168,0.73,4,0,3,0,2,1,0,2,1,231,168,0.73,138,30,10,0.43,1,0.33,21,NULL,1,0,0,4,0.5,4,4,3,3,19,17,0.44,2,0.33,4,0.5,L,0,1
0.49,11,5,2,1,170,0.76,5,1,11,2,5,4,0,5,6,223,170,0.76,97,73,10,0.38,2,0.67,10,NULL,0,0,0,8,0.73,7,1,5,2,26,22,0.56,4,0.67,7,0.58,W,2,2
0.52,7,3,1,0,164,0.77,5,3,7,2,3,2,0,5,2,214,164,0.77,75,89,11,0.46,1,0.08,17,NULL,1,1,0,2,0.33,4,0,7,4,22,19,0.46,3,0.38,10,0.63,W,3,3
0.48,4,4,1,1,144,0.71,3,0,4,0,4,0,0,2,2,204,144,0.71,81,63,11,0.31,0,0,9,NULL,1,0,0,7,0.78,7,2,11,0,27,22,0.54,5,0.63,8,0.67,L,0,2
0.43,9,5,3,2,140,0.8,5,4,9,2,5,2,1,8,1,174,140,0.8,79,61,12,0.55,4,0.36,14,NULL,2,0,0,7,0.7,6,2,5,2,24,23,0.59,1,0.33,4,0.57,W,2,3
0.57,4,2,0,0,203,0.85,10,2,4,0,2,2,0,2,2,239,203,0.85,132,71,11,0.46,1,0.25,9,NULL,1,2,0,3,0.75,4,2,11,4,18,16,0.41,2,0.67,8,0.53,L,0,0
0.42,5,1,0,0,101,0.64,4,3,5,2,1,2,0,3,2,157,101,0.64,68,33,15,0.44,1,0.11,11,NULL,2,0,0,4,0.67,7,2,10,2,19,13,0.43,6,0.45,5,0.63,W,0,2
0.58,8,3,2,1,166,0.75,3,5,8,3,3,2,0,8,0,221,166,0.75,102,64,18,0.46,5,0.38,17,NULL,2,0,0,6,0.55,5,2,7,1,24,17,0.57,7,0.54,2,0.67,L,1,1
0.52,3,1,0,0,135,0.72,3,4,3,1,1,1,0,2,1,188,135,0.72,61,74,5,0.24,3,0.23,12,NULL,4,1,0,5,0.56,5,2,10,1,20,15,0.54,5,0.38,1,0.5,L,0,0
0.48,5,1,1,1,114,0.63,5,1,5,2,1,2,0,4,1,182,114,0.63,63,51,5,0.19,1,0.14,18,NULL,1,0,0,5,0.71,8,1,11,1,21,13,0.46,8,0.62,3,0.33,W,0,1
0.69,7,3,1,0,272,0.89,4,5,7,3,3,1,0,4,3,307,272,0.89,133,139,9,0.47,3,0.2,11,NULL,2,0,0,7,0.7,4,2,6,0,23,22,0.54,1,0.13,4,0.44,W,1,1
0.31,4,0,0,0,105,0.74,8,1,4,2,0,2,0,2,2,141,105,0.74,79,26,14,0.61,1,0.17,10,NULL,0,1,0,5,0.5,7,1,10,2,26,19,0.46,7,0.88,6,0.67,L,0,0
0.53,1,0,1,1,174,0.75,8,2,1,1,0,0,1,1,0,233,174,0.75,131,43,10,0.29,0,0,6,NULL,0,1,0,4,0.5,4,1,8,5,27,21,0.48,6,0.46,8,0.67,T,0,0
0.47,9,5,3,3,150,0.75,5,2,9,3,5,1,0,6,3,200,150,0.75,83,67,12,0.48,3,0.33,14,NULL,1,0,0,9,0.9,5,0,5,0,30,23,0.52,7,0.54,6,0.75,T,0,0
0.51,5,2,1,1,139,0.74,4,5,5,2,2,1,0,4,1,187,139,0.74,79,60,14,0.5,3,0.23,20,NULL,0,0,0,3,0.38,1,0,11,1,13,11,0.44,2,0.4,2,0.33,L,0,0
0.49,5,2,1,1,137,0.73,2,1,5,3,2,0,2,4,1,188,137,0.73,82,55,11,0.46,1,0.17,17,NULL,2,0,0,2,0.29,6,1,9,2,17,14,0.56,3,0.6,3,0.6,W,2,2
0.67,7,2,1,1,282,0.87,3,4,7,4,2,1,0,6,1,323,282,0.87,146,136,9,0.47,6,0.33,13,NULL,2,0,0,7,0.78,6,0,4,0,24,21,0.53,3,0.33,9,0.64,T,0,0
0.33,2,0,0,0,117,0.72,3,0,2,2,0,0,0,2,0,162,117,0.72,79,38,14,0.54,0,0,11,NULL,0,0,0,7,0.78,6,1,9,2,25,19,0.48,6,0.67,7,0.88,T,0,0
0.44,6,2,1,0,111,0.73,4,3,6,3,2,1,0,6,0,153,111,0.73,59,52,9,0.36,2,0.29,13,NULL,0,0,0,4,0.57,3,0,5,3,17,14,0.44,3,0.5,2,0.4,W,1,2
0.56,5,4,0,0,161,0.81,5,3,5,1,4,0,0,4,1,199,161,0.81,85,76,6,0.24,1,0.11,5,NULL,0,2,0,6,0.6,4,1,7,1,21,18,0.56,3,0.5,4,0.57,L,1,1
0.51,7,1,1,1,168,0.77,6,2,7,5,1,1,0,6,1,217,168,0.77,84,84,19,0.59,0,0,20,NULL,0,0,0,1,1,6,2,12,0,11,7,0.27,4,0.67,1,0.25,L,0,0
0.49,7,2,1,0,151,0.74,5,2,7,3,2,2,0,6,1,203,151,0.74,81,70,10,0.34,1,0.08,10,NULL,1,1,0,8,0.73,5,1,12,1,21,19,0.73,2,0.33,2,1,W,2,2
0.54,6,1,0,0,132,0.74,6,4,6,5,1,0,0,5,1,179,132,0.74,72,60,17,0.45,1,0.07,17,NULL,1,2,0,1,1,6,0,2,1,12,7,0.33,5,0.33,2,0.33,L,0,0
0.46,3,2,0,0,100,0.63,4,0,3,1,2,0,0,1,2,158,100,0.63,64,36,15,0.41,1,0.33,14,NULL,3,1,0,7,1,7,0,15,1,24,14,0.67,10,0.67,1,1,W,1,3
0.51,12,6,3,0,170,0.8,6,3,12,2,6,4,0,8,4,213,170,0.8,105,65,8,0.44,5,0.42,12,NULL,2,1,0,7,0.88,5,3,5,0,18,14,0.45,4,0.44,5,0.42,W,3,4
0.49,4,0,0,0,160,0.8,1,5,4,1,0,3,0,2,2,199,160,0.8,124,36,16,0.67,2,0.2,7,NULL,0,0,0,3,0.3,3,4,10,3,22,17,0.55,5,0.56,1,0.2,L,0,0
0.56,5,2,1,1,223,0.81,1,0,5,2,2,1,0,3,2,275,223,0.81,157,66,19,0.58,0,0,13,NULL,4,0,0,6,0.86,4,1,10,1,27,16,0.37,11,0.61,6,0.6,L,0,1
0.44,5,4,3,1,160,0.72,3,3,5,0,4,1,0,3,2,221,160,0.72,90,70,8,0.3,1,0.33,13,NULL,1,0,0,11,0.69,9,1,4,2,34,27,0.63,7,0.39,10,0.77,W,3,4
0.44,2,1,0,0,128,0.71,5,2,2,0,1,1,0,2,0,181,128,0.71,90,38,10,0.3,0,0,13,NULL,1,0,0,4,0.36,2,2,14,2,22,21,0.6,1,0.25,4,40,L,0,0
0.56,7,3,1,0,180,0.81,6,3,7,2,3,2,0,4,3,223,180,0.81,119,61,13,0.45,3,0.19,13,NULL,1,0,0,6,0.6,2,1,5,1,17,14,0.4,3,0.75,0,0,W,1,2
